,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
5763,tm1013111,1000 Miles from Christmas,movie,2021,102,"family, fantasy, comedy, romance",ES,0,5.8,1820,9.2,6.3,family,ES,Low score,High score
5764,tm869475,Pagglait,movie,2021,114,"comedy, drama",IN,0,6.9,9694,6.4,6.7,comedy,IN,High score,High score
5765,tm975741,Octonauts: The Ring of Fire,movie,2021,72,"family, animation","CN, GB",0,6.5,158,5.6,6.0,family,CN,High score,High score
5766,tm1183542,Mishan Impossible,movie,2022,129,"comedy, action, drama, thriller",IN,0,6.5,915,3.5,6.1,comedy,IN,High score,High score
5767,tm1099320,Convergence: Courage in a Crisis,movie,2021,113,documentation,"GB, US",0,5.9,278,2.3,5.2,documentation,GB,Low score,Low score
5768,tm886188,Caught by a Wave,movie,2021,99,"romance, drama, sport",IT,0,5.8,1398,12.4,6.6,romance,IT,Low score,High score
5769,tm1122095,A Naija Christmas,movie,2021,121,"comedy, drama, romance",NG,0,4.9,414,7.3,6.8,comedy,NG,Low score,High score
5770,ts257315,Karma's World,show,2021,10,"family, animation, comedy",US,4,7.0,201,7.1,7.1,family,US,High score,High score
5771,tm851599,Tersanjung: The Movie,movie,2021,114,"drama, romance",ID,0,6.0,228,3.3,8.2,drama,ID,High score,
5772,ts188861,Battle Kitty,show,2022,33,"animation, comedy, family, fantasy, scifi, action",US,1,6.1,220,3.0,7.7,animation,US,High score,High score
5773,tm840723,Ramprasad Ki Tehrvi,movie,2021,106,"drama, comedy",IN,0,7.5,5745,2.4,6.1,drama,IN,High score,High score
5774,tm922407,Kilometers and Kilometers,movie,2021,129,"action, drama, comedy",IN,0,6.4,1682,2.2,5.8,action,IN,High score,Low score
5775,ts283614,Haunted: Latin America,show,2021,32,"horror, reality",MX,1,5.3,622,36.2,7.3,horror,MX,Low score,High score
5776,tm1024535,The Guardian,movie,2021,127,"music, thriller, crime, drama, horror",VN,0,5.7,405,2.6,6.4,music,VN,Low score,High score
5777,tm824488,The Art of Incarceration,movie,2022,90,documentation,AU,0,7.8,38,1.4,6.629937,documentation,AU,High score,
5778,tm988801,June & Kopi,movie,2021,91,"drama, comedy, family",ID,0,6.3,604,6.0,6.7,drama,ID,High score,High score
5779,ts229537,The New Adventures of Oggy,show,2021,17,"animation, comedy, family, action",FR,1,6.7,55,3.7,2.0,animation,FR,High score,Low score
5780,tm1187638,Ronny Chieng: Speakeasy,movie,2022,60,"comedy, documentation",US,0,6.3,1413,3.6,6.2,comedy,US,High score,High score
5781,tm846586,Layla Majnun,movie,2021,119,"drama, romance",ID,0,6.1,295,3.3,7.5,drama,ID,High score,High score
5782,tm1269086,L.O.L. Surprise! Winter Fashion Show,movie,2022,60,animation,US,0,7.2,24,111.5,7.9,animation,US,High score,High score
5783,tm1065041,The Seven Deadly Sins: Cursed by Light,movie,2021,79,"animation, fantasy, comedy, action",JP,0,6.3,1136,110.0,7.8,animation,JP,High score,High score
5784,tm998678,Aelay,movie,2021,153,comedy,IN,0,6.5364428,0,1.3,6.3,comedy,IN,,High score
5785,tm1232634,Sniper: Rogue Mission,movie,2022,96,"action, thriller",US,0,4.5,1044,88.9,6.8,action,US,Low score,High score
5786,ts307745,Money Heist: From Tokyo to Berlin,show,2021,53,"documentation, crime, drama",ES,2,7.6,961,68.0,7.8,documentation,ES,High score,High score
5787,tm1251430,Barbie: Mermaid Power,movie,2022,65,"animation, family, fantasy",US,0,5.5,175,64.6,7.3,animation,US,Low score,High score
5788,ts372348,The Most Beautiful Flower,show,2022,0,comedy,MX,1,5.9,227,60.2,8.4,comedy,MX,Low score,
5789,tm1247524,Ivy + Bean: The Ghost That Had to Go,movie,2022,62,"comedy, family",US,0,5.6,181,36.7,6.9,comedy,US,Low score,High score
