,release_year,lenght,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,clusters
255,2007,23,6,7.4,11992,16.6,7.3,0
256,2003,21,3,6.2,5003,32.5,7.6,0
257,2008,97,0,6.9,474,2.2,6.5,0
258,2004,23,8,6.2,6700,58.0,8.2,0
259,2008,123,0,6.8,256494,28.3,6.7,1
260,2005,25,4,6.1,16416,48.5,8.2,0
261,2004,130,0,6.4,85726,24.1,6.0,0
262,2002,82,0,7.2,78881,66.6,7.7,0
263,2009,22,2,7.8,4300,21.5,8.6,0
264,2010,100,0,6.4,106798,33.3,6.9,0
265,2001,114,0,5.1,18,17.0,6.6,0
266,2009,95,0,5.7,136745,19.7,5.7,0
267,2006,93,0,5.6,88700,20.7,5.8,0
268,2009,170,0,8.4,406051,33.0,8.0,1
269,2006,125,0,7.1,78301,37.0,7.0,0
270,2004,94,0,6.1,202887,20.6,6.3,1
271,2010,97,0,5.8,174100,1.6,6.0,0
272,2008,123,0,7.6,306717,19.2,7.6,1
273,2005,129,0,5.9,103951,21.7,6.1,0
274,2009,58,1,7.9,530,7.0,7.3,0
275,2002,29,9,8.9,8365,6.4,8.2,0
276,2008,25,3,8.2,1997,40.6,7.5,0
277,2009,92,0,7.2,1087,1.5,7.0,0
278,2010,24,0,5.0,580,3.1,2.5,0
279,2009,64,1,7.8,12768,61.9,8.3,0
280,2006,178,0,7.1,38540,9.2,7.0,0
281,2008,30,2,8.0,16549,31.0,8.4,0
282,2006,23,1,8.2,10614,24.6,8.3,0
283,2006,157,0,8.1,119995,9.8,7.2,0
284,2005,207,0,6.5364428,0,7.6,7.7,0
285,2007,100,0,5.8,7930,13.2,7.0,0
286,2008,115,0,6.7,115160,20.3,6.6,0
287,2004,189,0,8.2,92794,9.5,7.3,0
288,2007,22,4,4.3,136,2.8,6.0,0
289,2008,60,0,7.8,3555,7.2,7.4,0
290,2009,97,0,5.6,24056,9.4,5.8,0
291,2009,144,0,7.9,31177,7.2,6.9,0
292,2010,44,1,6.7,243,18.541842,6.629937,0
293,2008,60,0,7.6,1813,3.5,7.5,0
294,2003,24,5,7.3,5361,29.5,7.3,0
295,2006,22,10,6.8,4597,25.8,8.2,0
296,2001,20,5,7.1,2401,16.0,7.7,0
297,2003,88,0,5.6,70718,24.0,5.9,0
298,2010,98,0,6.3,46554,9.1,5.9,0
299,2010,133,0,5.8,100026,19.1,6.2,0
300,2007,44,1,7.2,236,60.8,7.8,0
301,2006,25,3,7.2,16221,51.3,7.8,0
302,2009,44,1,7.6,682,2.5,7.4,0
303,2010,59,1,7.3,106,14.0,4.8,0
304,2001,168,0,6.5,13930,10.5,6.4,0
305,2008,103,0,8.1,79787,9.8,7.0,0
306,2010,96,0,6.3,75039,21.3,6.1,0
307,2008,44,2,8.0,804,150.3,7.5,0
308,2009,93,0,8.1,290993,42.6,8.0,1
309,2009,94,0,6.4,166773,36.7,6.2,0
310,2008,45,1,7.0,1422,26.9,6.0,0
311,2010,40,10,3.6,728,8.0,7.5,0
312,2010,84,0,8.3,12383,6.7,7.9,0
313,2010,97,0,5.9,3526,21.0,6.5,0
314,2009,106,0,6.4,200652,19.2,6.3,1
315,2005,105,0,6.3,9085,16.6,6.8,0
316,2009,18,5,5.4,2791,23.2,5.3,0
317,2001,42,0,7.4,1112,1.7,7.1,0
318,2005,90,0,7.2,4288,5.0,6.9,0
319,2002,21,4,7.1,1954,9.3,8.2,0
320,2009,25,4,6.4,13027,56.6,8.7,0
321,2005,9,4,4.0,99,51.2,7.0,0
322,2009,141,0,6.8,16443,3.1,5.5,0
323,2009,89,0,6.6,3488,8.6,6.6,0
324,2009,37,3,7.6,334,4.7,8.9,0
325,2001,44,1,7.5,365,23.7,7.8,0
326,2007,110,0,5.9,149609,20.3,6.0,0
327,2006,72,0,7.8,4056,3.0,7.1,0
328,2006,155,0,7.2,25177,8.4,6.4,0
329,2006,95,0,7.1,13151,7.2,6.7,0
330,2002,155,0,8.2,16748,4.3,6.9,0
331,2010,97,0,6.3,92,0.9,4.0,0
332,2006,99,0,5.6,61295,41.8,5.9,0
333,2009,137,0,6.3,12361,8.0,6.5,0
334,2009,6,5,7.5,3381,59.4,6.9,0
335,2004,141,0,8.4,395,2.8,6.7,0
336,2007,166,0,7.7,24249,12.0,6.8,0
337,2008,135,0,5.2,8382,5.2,5.1,0
338,2009,113,0,7.5,6072,31.7,7.5,0
339,2009,122,0,4.4,266,3.2,4.0,0
340,2007,138,0,7.9,54797,11.1,7.3,0
341,2008,155,0,7.4,27357,5.8,6.8,0
342,2010,182,0,6.9,26,2.4,2.0,0
343,2002,24,4,8.4,4609,4.6,6.6,0
344,2007,25,1,7.8,936,16.8,7.4,0
345,2004,113,0,5.3,215,2.0,5.1,0
346,2005,18,6,5.1,8694,37.0,5.8,0
347,2007,80,0,6.6,241,3.0,5.5,0
348,2009,150,0,6.4,15367,8.0,6.1,0
349,2010,100,0,7.4,4559,6.2,7.4,0
350,2006,86,0,6.1,99432,22.9,6.1,0
351,2001,210,0,7.4,51658,22.1,7.8,0
352,2007,165,0,8.3,196038,19.4,8.0,1
353,2009,94,0,6.2,37841,28.8,6.3,0
354,2008,167,0,6.9,12740,8.1,6.4,0
355,2003,186,0,7.9,71235,14.3,7.4,0
356,2009,14,3,7.4,1375,18.1,6.3,0
357,2009,26,1,6.2,27,0.9,6.629937,0
358,2010,15,7,7.6,1207,82.9,7.2,0
359,2006,97,0,6.5364428,0,44.5,5.5,0
360,2007,137,0,7.5,8374,3.3,6.5,0
361,2008,55,0,7.2,12,2.0,6.5,0
362,2008,71,0,5.5,24891,22.4,5.8,0
363,2009,101,0,7.3,7615,5.4,6.8,0
364,2010,115,0,7.3,10634,5.3,6.4,0
365,2009,72,0,7.7,2623,4.2,6.9,0
366,2007,21,2,5.8,792,22.7,8.2,0
367,2009,92,0,5.6,46285,15.1,5.7,0
368,2010,95,0,5.7,517,4.3,6.4,0
369,2004,122,0,5.4,2749,3.2,5.2,0
370,2010,106,0,6.3,112,1.8,2.0,0
371,2002,82,0,6.9,7110,8.6,6.7,0
372,2007,89,0,5.5,4509,8.2,5.6,0
